 0 05.0 05.0 0x55fcfe38c590 4
 1 05.0 15.0 0x55fcfe38c5c8 6
 2 05.0 25.0 0x55fcfe38c600 6
 3 05.0 35.0 0x55fcfe38c638 6
 4 05.0 45.0 0x55fcfe38c670 6
 5 05.0 55.0 0x55fcfe38c6a8 6
 6 05.0 65.0 0x55fcfe38c6e0 6
 7 05.0 75.0 0x55fcfe38c718 6
 8 05.0 85.0 0x55fcfe38c750 6
 9 05.0 95.0 0x55fcfe38c788 4
10 15.0 05.0 0x55fcfe38c7c0 6
11 15.0 15.0 0x55fcfe38c7f8 9
12 15.0 25.0 0x55fcfe38c830 9
13 15.0 35.0 0x55fcfe38c868 9
14 15.0 45.0 0x55fcfe38c8a0 9
15 15.0 55.0 0x55fcfe38c8d8 9
16 15.0 65.0 0x55fcfe38c910 9
17 15.0 75.0 0x55fcfe38c948 9
18 15.0 85.0 0x55fcfe38c980 9
19 15.0 95.0 0x55fcfe38c9b8 6
20 25.0 05.0 0x55fcfe38c9f0 6
21 25.0 15.0 0x55fcfe38ca28 9
22 25.0 25.0 0x55fcfe38ca60 9
23 25.0 35.0 0x55fcfe38ca98 9
24 25.0 45.0 0x55fcfe38cad0 9
25 25.0 55.0 0x55fcfe38cb08 9
26 25.0 65.0 0x55fcfe38cb40 9
27 25.0 75.0 0x55fcfe38cb78 9
28 25.0 85.0 0x55fcfe38cbb0 9
29 25.0 95.0 0x55fcfe38cbe8 6
30 35.0 05.0 0x55fcfe38cc20 6
31 35.0 15.0 0x55fcfe38cc58 9
32 35.0 25.0 0x55fcfe38cc90 9
33 35.0 35.0 0x55fcfe38ccc8 9
34 35.0 45.0 0x55fcfe38cd00 9
35 35.0 55.0 0x55fcfe38cd38 9
36 35.0 65.0 0x55fcfe38cd70 9
37 35.0 75.0 0x55fcfe38cda8 9
38 35.0 85.0 0x55fcfe38cde0 9
39 35.0 95.0 0x55fcfe38ce18 6
40 45.0 05.0 0x55fcfe38ce50 6
41 45.0 15.0 0x55fcfe38ce88 9
42 45.0 25.0 0x55fcfe38cec0 9
43 45.0 35.0 0x55fcfe38cef8 9
44 45.0 45.0 0x55fcfe38cf30 9
45 45.0 55.0 0x55fcfe38cf68 9
46 45.0 65.0 0x55fcfe38cfa0 9
47 45.0 75.0 0x55fcfe38cfd8 9
48 45.0 85.0 0x55fcfe38d010 9
49 45.0 95.0 0x55fcfe38d048 6
50 55.0 05.0 0x55fcfe38d080 6
51 55.0 15.0 0x55fcfe38d0b8 9
52 55.0 25.0 0x55fcfe38d0f0 9
53 55.0 35.0 0x55fcfe38d128 9
54 55.0 45.0 0x55fcfe38d160 9
55 55.0 55.0 0x55fcfe38d198 9
56 55.0 65.0 0x55fcfe38d1d0 9
57 55.0 75.0 0x55fcfe38d208 9
58 55.0 85.0 0x55fcfe38d240 9
59 55.0 95.0 0x55fcfe38d278 6
60 65.0 05.0 0x55fcfe38d2b0 6
61 65.0 15.0 0x55fcfe38d2e8 9
62 65.0 25.0 0x55fcfe38d320 9
63 65.0 35.0 0x55fcfe38d358 9
64 65.0 45.0 0x55fcfe38d390 9
65 65.0 55.0 0x55fcfe38d3c8 9
66 65.0 65.0 0x55fcfe38d400 9
67 65.0 75.0 0x55fcfe38d438 9
68 65.0 85.0 0x55fcfe38d470 9
69 65.0 95.0 0x55fcfe38d4a8 6
70 75.0 05.0 0x55fcfe38d4e0 6
71 75.0 15.0 0x55fcfe38d518 9
72 75.0 25.0 0x55fcfe38d550 9
73 75.0 35.0 0x55fcfe38d588 9
74 75.0 45.0 0x55fcfe38d5c0 9
75 75.0 55.0 0x55fcfe38d5f8 9
76 75.0 65.0 0x55fcfe38d630 9
77 75.0 75.0 0x55fcfe38d668 9
78 75.0 85.0 0x55fcfe38d6a0 9
79 75.0 95.0 0x55fcfe38d6d8 6
80 85.0 05.0 0x55fcfe38d710 6
81 85.0 15.0 0x55fcfe38d748 9
82 85.0 25.0 0x55fcfe38d780 9
83 85.0 35.0 0x55fcfe38d7b8 9
84 85.0 45.0 0x55fcfe38d7f0 9
85 85.0 55.0 0x55fcfe38d828 9
86 85.0 65.0 0x55fcfe38d860 9
87 85.0 75.0 0x55fcfe38d898 9
88 85.0 85.0 0x55fcfe38d8d0 9
89 85.0 95.0 0x55fcfe38d908 6
90 95.0 05.0 0x55fcfe38d940 4
91 95.0 15.0 0x55fcfe38d978 6
92 95.0 25.0 0x55fcfe38d9b0 6
93 95.0 35.0 0x55fcfe38d9e8 6
94 95.0 45.0 0x55fcfe38da20 6
95 95.0 55.0 0x55fcfe38da58 6
96 95.0 65.0 0x55fcfe38da90 6
97 95.0 75.0 0x55fcfe38dac8 6
98 95.0 85.0 0x55fcfe38db00 6
99 95.0 95.0 0x55fcfe38db38 4
